
=======================================================
  MobileNetV2 + relu  (device=cuda)
  [elu] E29  tr=0.1470/0.950  vl=0.1901/0.957
  [elu] E30  tr=0.1154/0.959  vl=0.1709/0.957
  [elu] E31  tr=0.1280/0.963  vl=0.1568/0.971
  [elu] E32  tr=0.1299/0.959  vl=0.2118/0.942
  [elu] E33  tr=0.0931/0.967  vl=0.2462/0.899
  [elu] E34  tr=0.1290/0.957  vl=0.2020/0.928
  [elu] E35  tr=0.1272/0.957  vl=0.1693/0.957
  [elu] E36  tr=0.1294/0.961  vl=0.1735/0.957
  [elu] E37  tr=0.1343/0.950  vl=0.1674/0.957
  Early stop.

=======================================================
  MobileNetV2 + gelu  (device=cuda)
=======================================================
  [gelu] E01  tr=0.5603/0.704  vl=0.6425/0.580
  [gelu] E02  tr=0.3646/0.849  vl=0.4841/0.710
  [gelu] E03  tr=0.3118/0.876  vl=0.3270/0.899
  [gelu] E04  tr=0.2787/0.901  vl=0.3862/0.812
  [gelu] E05  tr=0.2362/0.907  vl=0.2862/0.899
  [gelu] E06  tr=0.2465/0.915  vl=0.2489/0.899
  [gelu] E07  tr=0.2658/0.905  vl=0.2059/0.928
  [gelu] E08  tr=0.1867/0.940  vl=0.1960/0.928
  [gelu] E09  tr=0.1943/0.928  vl=0.2085/0.957
  [gelu] E10  tr=0.2022/0.915  vl=0.2263/0.928
  [gelu] E11  tr=0.1851/0.917  vl=0.2639/0.913
  [gelu] E12  tr=0.1729/0.948  vl=0.2483/0.913
  [gelu] E13  tr=0.1609/0.944  vl=0.2044/0.913
  [gelu] E14  tr=0.1709/0.942  vl=0.2161/0.913
  [gelu] E15  tr=0.1805/0.930  vl=0.1854/0.928
  [gelu] E16  tr=0.1373/0.948  vl=0.1954/0.942
  [gelu] E17  tr=0.1546/0.948  vl=0.1929/0.928
  [gelu] E18  tr=0.1501/0.948  vl=0.1942/0.928
  [gelu] E19  tr=0.1649/0.946  vl=0.1953/0.899
  [gelu] E20  tr=0.1399/0.957  vl=0.1458/0.942
  [gelu] E21  tr=0.1422/0.948  vl=0.1381/0.957
  [gelu] E22  tr=0.1518/0.938  vl=0.1689/0.957
  [gelu] E23  tr=0.1182/0.969  vl=0.1434/0.971
  [gelu] E24  tr=0.1224/0.957  vl=0.1523/0.942
  [gelu] E25  tr=0.1386/0.954  vl=0.1340/0.971
  [gelu] E26  tr=0.1361/0.961  vl=0.1594/0.971
  [gelu] E27  tr=0.1471/0.952  vl=0.1490/0.971
  [gelu] E28  tr=0.1300/0.950  vl=0.1444/0.957
  [gelu] E29  tr=0.1212/0.967  vl=0.1482/0.957
  [gelu] E30  tr=0.1216/0.954  vl=0.1559/0.957
  [gelu] E31  tr=0.1242/0.969  vl=0.1375/0.957
  [gelu] E32  tr=0.1215/0.963  vl=0.1461/0.942
  [gelu] E33  tr=0.0979/0.967  vl=0.1660/0.928
  [gelu] E34  tr=0.1211/0.952  vl=0.1483/0.957
  [gelu] E35  tr=0.1192/0.961  vl=0.1411/0.971
  [gelu] E36  tr=0.1158/0.967  vl=0.1337/0.971
  [gelu] E37  tr=0.1120/0.961  vl=0.1420/0.957
  [gelu] E38  tr=0.1089/0.965  vl=0.1223/0.957
  [gelu] E39  tr=0.0973/0.977  vl=0.1341/0.942
  [gelu] E40  tr=0.0898/0.983  vl=0.1216/0.971
  [gelu] E41  tr=0.1046/0.967  vl=0.1189/0.971
  [gelu] E42  tr=0.1200/0.963  vl=0.1144/0.971
  [gelu] E43  tr=0.1021/0.973  vl=0.1173/0.971
  [gelu] E44  tr=0.1023/0.965  vl=0.1207/0.957
  [gelu] E45  tr=0.1308/0.954  vl=0.1117/0.971
  [gelu] E46  tr=0.1130/0.965  vl=0.1155/0.957
  [gelu] E47  tr=0.1201/0.959  vl=0.1234/0.957
  [gelu] E48  tr=0.0970/0.971  vl=0.1262/0.957
  [gelu] E49  tr=0.1160/0.969  vl=0.1191/0.957
  [gelu] E50  tr=0.1045/0.967  vl=0.1183/0.971
  [gelu] E51  tr=0.0964/0.969  vl=0.1106/0.957
  [gelu] E52  tr=0.1072/0.954  vl=0.1117/0.971
  [gelu] E53  tr=0.1172/0.961  vl=0.1178/0.971
  [gelu] E54  tr=0.1033/0.967  vl=0.1241/0.957
  [gelu] E55  tr=0.0897/0.973  vl=0.1197/0.942
  [gelu] E56  tr=0.1136/0.961  vl=0.1200/0.971
  [gelu] E57  tr=0.0901/0.973  vl=0.1244/0.971
  [gelu] E58  tr=0.1006/0.965  vl=0.1237/0.957
